Sector,Partida
Productos frescos y materia prima ,'010121
Productos frescos y materia prima ,'010129
Productos frescos y materia prima ,'010130
Productos frescos y materia prima ,'010190
Productos frescos y materia prima ,'010221
Productos frescos y materia prima ,'010229
Productos frescos y materia prima ,'010231
Productos frescos y materia prima ,'010239
Productos frescos y materia prima ,'010290
Productos frescos y materia prima ,'010310
Productos frescos y materia prima ,'010391
Productos frescos y materia prima ,'010392
Productos frescos y materia prima ,'010410
Productos frescos y materia prima ,'010420
Productos frescos y materia prima ,'010511
Productos frescos y materia prima ,'010512
Productos frescos y materia prima ,'010513
Productos frescos y materia prima ,'010514
Productos frescos y materia prima ,'010515
Productos frescos y materia prima ,'010594
Productos frescos y materia prima ,'010599
Productos frescos y materia prima ,'010611
Productos frescos y materia prima ,'010612
Productos frescos y materia prima ,'010613
Productos frescos y materia prima ,'010614
Productos frescos y materia prima ,'010619
Productos frescos y materia prima ,'010620
Productos frescos y materia prima ,'010631
Productos frescos y materia prima ,'010632
Productos frescos y materia prima ,'010633
Productos frescos y materia prima ,'010639
Productos frescos y materia prima ,'010641
Productos frescos y materia prima ,'010649
Productos frescos y materia prima ,'010690
Productos frescos y materia prima ,'020110
Productos frescos y materia prima ,'020120
Productos frescos y materia prima ,'020130
Productos frescos y materia prima ,'020210
Productos frescos y materia prima ,'020220
Productos frescos y materia prima ,'020230
Productos frescos y materia prima ,'020311
Productos frescos y materia prima ,'020312
Productos frescos y materia prima ,'020319
Productos frescos y materia prima ,'020321
Productos frescos y materia prima ,'020322
Productos frescos y materia prima ,'020329
Productos frescos y materia prima ,'020410
Productos frescos y materia prima ,'020421
Productos frescos y materia prima ,'020422
Productos frescos y materia prima ,'020423
Productos frescos y materia prima ,'020430
Productos frescos y materia prima ,'020441
Productos frescos y materia prima ,'020442
Productos frescos y materia prima ,'020443
Productos frescos y materia prima ,'020450
Productos frescos y materia prima ,'020500
Productos frescos y materia prima ,'020610
Productos frescos y materia prima ,'020621
Productos frescos y materia prima ,'020622
Productos frescos y materia prima ,'020629
Productos frescos y materia prima ,'020630
Productos frescos y materia prima ,'020641
Productos frescos y materia prima ,'020649
Productos frescos y materia prima ,'020680
Productos frescos y materia prima ,'020690
Productos frescos y materia prima ,'020711
Productos frescos y materia prima ,'020712
Productos frescos y materia prima ,'020713
Productos frescos y materia prima ,'020714
Productos frescos y materia prima ,'020724
Productos frescos y materia prima ,'020725
Productos frescos y materia prima ,'020726
Productos frescos y materia prima ,'020727
Productos frescos y materia prima ,'020741
Productos frescos y materia prima ,'020742
Productos frescos y materia prima ,'020743
Productos frescos y materia prima ,'020744
Productos frescos y materia prima ,'020745
Productos frescos y materia prima ,'020751
Productos frescos y materia prima ,'020752
Productos frescos y materia prima ,'020753
Productos frescos y materia prima ,'020754
Productos frescos y materia prima ,'020755
Productos frescos y materia prima ,'020760
Productos frescos y materia prima ,'020810
Productos frescos y materia prima ,'020830
Productos frescos y materia prima ,'020840
Productos frescos y materia prima ,'020850
Productos frescos y materia prima ,'020860
Productos frescos y materia prima ,'020890
Comida procesada y productos agrícolas,'020910
Comida procesada y productos agrícolas,'020990
Comida procesada y productos agrícolas,'021011
Comida procesada y productos agrícolas,'021012
Comida procesada y productos agrícolas,'021019
Comida procesada y productos agrícolas,'021020
Comida procesada y productos agrícolas,'021091
Comida procesada y productos agrícolas,'021092
Comida procesada y productos agrícolas,'021093
Comida procesada y productos agrícolas,'021099
Productos frescos y materia prima ,'030111
Productos frescos y materia prima ,'030119
Productos frescos y materia prima ,'030191
Productos frescos y materia prima ,'030192
Productos frescos y materia prima ,'030193
Productos frescos y materia prima ,'030194
Productos frescos y materia prima ,'030195
Productos frescos y materia prima ,'030199
Productos frescos y materia prima ,'030211
Productos frescos y materia prima ,'030213
Productos frescos y materia prima ,'030214
Productos frescos y materia prima ,'030219
Productos frescos y materia prima ,'030221
Productos frescos y materia prima ,'030222
Productos frescos y materia prima ,'030223
Productos frescos y materia prima ,'030224
Productos frescos y materia prima ,'030229
Productos frescos y materia prima ,'030231
Productos frescos y materia prima ,'030232
Productos frescos y materia prima ,'030233
Productos frescos y materia prima ,'030234
Productos frescos y materia prima ,'030235
Productos frescos y materia prima ,'030236
Productos frescos y materia prima ,'030239
Productos frescos y materia prima ,'030241
Productos frescos y materia prima ,'030242
Productos frescos y materia prima ,'030243
Productos frescos y materia prima ,'030244
Productos frescos y materia prima ,'030245
Productos frescos y materia prima ,'030246
Productos frescos y materia prima ,'030247
Productos frescos y materia prima ,'030249
Productos frescos y materia prima ,'030251
Productos frescos y materia prima ,'030252
Productos frescos y materia prima ,'030253
Productos frescos y materia prima ,'030254
Productos frescos y materia prima ,'030255
Productos frescos y materia prima ,'030256
Productos frescos y materia prima ,'030259
Productos frescos y materia prima ,'030271
Productos frescos y materia prima ,'030272
Productos frescos y materia prima ,'030273
Productos frescos y materia prima ,'030274
Productos frescos y materia prima ,'030279
Productos frescos y materia prima ,'030281
Productos frescos y materia prima ,'030282
Productos frescos y materia prima ,'030283
Productos frescos y materia prima ,'030284
Productos frescos y materia prima ,'030285
Productos frescos y materia prima ,'030289
Productos frescos y materia prima ,'030291
Productos frescos y materia prima ,'030292
Productos frescos y materia prima ,'030299
Productos frescos y materia prima ,'030311
Productos frescos y materia prima ,'030312
Productos frescos y materia prima ,'030313
Productos frescos y materia prima ,'030314
Productos frescos y materia prima ,'030319
Productos frescos y materia prima ,'030323
Productos frescos y materia prima ,'030324
Productos frescos y materia prima ,'030325
Productos frescos y materia prima ,'030326
Productos frescos y materia prima ,'030329
Productos frescos y materia prima ,'030331
Productos frescos y materia prima ,'030332
Productos frescos y materia prima ,'030333
Productos frescos y materia prima ,'030334
Productos frescos y materia prima ,'030339
Productos frescos y materia prima ,'030341
Productos frescos y materia prima ,'030342
Productos frescos y materia prima ,'030343
Productos frescos y materia prima ,'030344
Productos frescos y materia prima ,'030345
Productos frescos y materia prima ,'030346
Productos frescos y materia prima ,'030349
Productos frescos y materia prima ,'030351
Productos frescos y materia prima ,'030353
Productos frescos y materia prima ,'030354
Productos frescos y materia prima ,'030355
Productos frescos y materia prima ,'030356
Productos frescos y materia prima ,'030357
Productos frescos y materia prima ,'030359
Productos frescos y materia prima ,'030363
Productos frescos y materia prima ,'030364
Productos frescos y materia prima ,'030365
Productos frescos y materia prima ,'030366
Productos frescos y materia prima ,'030367
Productos frescos y materia prima ,'030368
Productos frescos y materia prima ,'030369
Productos frescos y materia prima ,'030381
Productos frescos y materia prima ,'030382
Productos frescos y materia prima ,'030383
Productos frescos y materia prima ,'030384
Productos frescos y materia prima ,'030389
Productos frescos y materia prima ,'030391
Productos frescos y materia prima ,'030392
Productos frescos y materia prima ,'030399
Productos frescos y materia prima ,'030431
Productos frescos y materia prima ,'030432
Productos frescos y materia prima ,'030433
Productos frescos y materia prima ,'030439
Productos frescos y materia prima ,'030441
Productos frescos y materia prima ,'030442
Productos frescos y materia prima ,'030443
Productos frescos y materia prima ,'030444
Productos frescos y materia prima ,'030445
Productos frescos y materia prima ,'030446
Productos frescos y materia prima ,'030447
Productos frescos y materia prima ,'030448
Productos frescos y materia prima ,'030449
Productos frescos y materia prima ,'030451
Productos frescos y materia prima ,'030452
Productos frescos y materia prima ,'030453
Productos frescos y materia prima ,'030454
Productos frescos y materia prima ,'030455
Productos frescos y materia prima ,'030456
Productos frescos y materia prima ,'030457
Productos frescos y materia prima ,'030459
Productos frescos y materia prima ,'030461
Productos frescos y materia prima ,'030462
Productos frescos y materia prima ,'030463
Productos frescos y materia prima ,'030469
Productos frescos y materia prima ,'030471
Productos frescos y materia prima ,'030472
Productos frescos y materia prima ,'030473
Productos frescos y materia prima ,'030474
Productos frescos y materia prima ,'030475
Productos frescos y materia prima ,'030479
Productos frescos y materia prima ,'030481
Productos frescos y materia prima ,'030482
Productos frescos y materia prima ,'030483
Productos frescos y materia prima ,'030484
Productos frescos y materia prima ,'030485
Productos frescos y materia prima ,'030486
Productos frescos y materia prima ,'030487
Productos frescos y materia prima ,'030488
Productos frescos y materia prima ,'030489
Productos frescos y materia prima ,'030491
Productos frescos y materia prima ,'030492
Productos frescos y materia prima ,'030493
Productos frescos y materia prima ,'030494
Productos frescos y materia prima ,'030495
Productos frescos y materia prima ,'030496
Productos frescos y materia prima ,'030497
Productos frescos y materia prima ,'030499
Comida procesada y productos agrícolas,'030520
Comida procesada y productos agrícolas,'030531
Comida procesada y productos agrícolas,'030532
Comida procesada y productos agrícolas,'030539
Comida procesada y productos agrícolas,'030541
Comida procesada y productos agrícolas,'030542
Comida procesada y productos agrícolas,'030543
Comida procesada y productos agrícolas,'030544
Comida procesada y productos agrícolas,'030549
Comida procesada y productos agrícolas,'030551
Comida procesada y productos agrícolas,'030552
Comida procesada y productos agrícolas,'030553
Comida procesada y productos agrícolas,'030554
Comida procesada y productos agrícolas,'030559
Comida procesada y productos agrícolas,'030561
Comida procesada y productos agrícolas,'030562
Comida procesada y productos agrícolas,'030563
Comida procesada y productos agrícolas,'030564
Comida procesada y productos agrícolas,'030569
Comida procesada y productos agrícolas,'030571
Comida procesada y productos agrícolas,'030572
Comida procesada y productos agrícolas,'030579
Comida procesada y productos agrícolas,'030611
Comida procesada y productos agrícolas,'030612
Comida procesada y productos agrícolas,'030614
Comida procesada y productos agrícolas,'030615
Productos frescos y materia prima ,'030616
Productos frescos y materia prima ,'030617
Comida procesada y productos agrícolas,'030619
Comida procesada y productos agrícolas,'030631
Comida procesada y productos agrícolas,'030632
Comida procesada y productos agrícolas,'030633
Comida procesada y productos agrícolas,'030634
Comida procesada y productos agrícolas,'030635
Comida procesada y productos agrícolas,'030636
Comida procesada y productos agrícolas,'030639
Comida procesada y productos agrícolas,'030691
Comida procesada y productos agrícolas,'030692
